Município;State;Municipality; Gross Rol [%] ;Gross Rol [%];Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Corumba - MS;mato grosso do sul;Corumba;7.65;0.0765;11-01 / 01-01;5;0;189;01-01 / 03-01;5;0;231.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1321.30;1080.21
Costa Rica - MS;mato grosso do sul;Costa Rica;7.65;0.0765;11-01 / 01-01;5;0;291;01-01 / 03-01;5;0;350.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;860.45;714.29
Deodapolis - MS;mato grosso do sul;Deodapolis;7.65;0.0765;11-01 / 01-01;5;0;202;01-01 / 03-01;5;0;203.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1240.57;1230.07
Douradina - MS;mato grosso do sul;Douradina;7.65;0.0765;11-01 / 01-01;5;0;193;01-01 / 03-01;5;0;199.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1295.92;1255.59
Dourados - MS;mato grosso do sul;Dourados;7.65;0.0765;11-01 / 01-01;5;0;202;01-01 / 03-01;5;0;203.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1240.39;1230.26
Eldorado - MS;mato grosso do sul;Eldorado;7.65;0.0765;11-01 / 01-01;5;0;98;01-01 / 03-01;5;0;211.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;2558.47;1183.47
Fatima Do Sul - MS;mato grosso do sul;Fatima Do Sul;7.65;0.0765;11-01 / 01-01;5;0;188;01-01 / 03-01;5;0;195.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1328.07;1280.33
Gloria De Dourados - MS;mato grosso do sul;Gloria De Dourados;7.65;0.0765;11-01 / 01-01;5;0;197;01-01 / 03-01;5;0;195.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1272.13;1282.63
Guia Lopes Da Laguna - MS;mato grosso do sul;Guia Lopes Da Laguna;7.65;0.0765;11-01 / 01-01;5;0;220;01-01 / 03-01;5;0;212.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1136.41;1177.90
Iguatemi - MS;mato grosso do sul;Iguatemi;7.65;0.0765;11-01 / 01-01;5;0;154;01-01 / 03-01;5;0;220.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1620.11;1135.87
Itapora - MS;mato grosso do sul;Itapora;7.65;0.0765;11-01 / 01-01;5;0;203;01-01 / 03-01;5;0;205.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1230.97;1219.35
Itaquirai - MS;mato grosso do sul;Itaquirai;7.65;0.0765;11-01 / 01-01;5;0;93;01-01 / 03-01;5;0;199.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;2681.87;1258.79
Ivinhema - MS;mato grosso do sul;Ivinhema;7.65;0.0765;11-01 / 01-01;5;0;198;01-01 / 03-01;5;0;202.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1260.07;1238.14
Japora - MS;mato grosso do sul;Japora;7.65;0.0765;11-01 / 01-01;5;0;126;01-01 / 03-01;5;0;213.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1981.68;1173.27
Jaraguari - MS;mato grosso do sul;Jaraguari;7.65;0.0765;11-01 / 01-01;5;0;248;01-01 / 03-01;5;0;279.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1008.52;894.82
Jatei - MS;mato grosso do sul;Jatei;7.65;0.0765;11-01 / 01-01;5;0;172;01-01 / 03-01;5;0;201.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1453.85;1241.29
Juti - MS;mato grosso do sul;Juti;7.65;0.0765;11-01 / 01-01;5;0;178;01-01 / 03-01;5;0;208.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1403.50;1199.72
Laguna Carapa - MS;mato grosso do sul;Laguna Carapa;7.65;0.0765;11-01 / 01-01;5;0;181;01-01 / 03-01;5;0;221.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1378.37;1130.94
Maracaju - MS;mato grosso do sul;Maracaju;7.65;0.0765;11-01 / 01-01;5;0;233;01-01 / 03-01;5;0;237.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1072.43;1056.20
Mundo Novo - MS;mato grosso do sul;Mundo Novo;7.65;0.0765;11-01 / 01-01;5;0;109;01-01 / 03-01;5;0;201.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;2301.87;1243.04
Navirai - MS;mato grosso do sul;Navirai;7.65;0.0765;11-01 / 01-01;5;0;141;01-01 / 03-01;5;0;201.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1769.58;1241.55
Nova Alvorada Do Sul - MS;mato grosso do sul;Nova Alvorada Do Sul;7.65;0.0765;11-01 / 01-01;5;0;210;01-01 / 03-01;5;0;250.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1187.74;1000.22
Nova Andradina - MS;mato grosso do sul;Nova Andradina;7.65;0.0765;11-01 / 01-01;5;0;167;01-01 / 03-01;5;0;214.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1497.18;1167.41
Novo Horizonte Do Sul - MS;mato grosso do sul;Novo Horizonte Do Sul;7.65;0.0765;11-01 / 01-01;5;0;171;01-01 / 03-01;5;0;202.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1458.80;1237.59
